running 44 cases × 3 tiers × 7 models
models: Opus 4.7, Sonnet 4.6, Haiku 4.5, GPT-5, GPT-5 Mini, Gemini 2.5 Pro, Gemini 2.5 Flash
  [Opus 4.7] small: skipping 27 cases
  [Opus 4.7        ] large  f04 ok  picked=drive_read_file_content
  [Opus 4.7        ] large  l01 ok  picked=calendar_list_events
  [Opus 4.7        ] large  l02 ok  picked=drive_list_recent_files
  [Opus 4.7        ] large  u01 miss picked=notion_search
  [Opus 4.7        ] large  f06 ok  picked=figma_get_design_context
  [Opus 4.7        ] large  l03 ok  picked=gmail_list_labels
  [Opus 4.7        ] large  l04 ok  picked=slack_list_channels
  [Opus 4.7        ] large  a01 ok  picked=calendar_suggest_time
  [Opus 4.7        ] large  a03 miss picked=slack_list_channels
  [Opus 4.7        ] large  l05 ok  picked=stripe_list_charges
  [Opus 4.7        ] large  a05 ok  picked=stripe_list_customers
  [Opus 4.7        ] large  a04 ok  picked=todoist_create_task
  [Opus 4.7        ] large  a06 ok  picked=gmail_search_threads
  [Opus 4.7        ] large  a08 ok  picked=todoist_list_tasks
  [Opus 4.7        ] large  a09 ok  picked=drive_search_files
  [Opus 4.7        ] large  a07 miss picked=linear_search_issues
  [Opus 4.7        ] large  a02 ok  picked=notion_search
  [Opus 4.7        ] large  a10 ok  picked=drive_search_files
  [Sonnet 4.6] small: skipping 27 cases
  [Sonnet 4.6      ] small  f01 ok  picked=notion_fetch
  [Sonnet 4.6      ] small  s01 ok  picked=notion_search
  [Sonnet 4.6      ] small  s02 ok  picked=gmail_search_threads
  [Sonnet 4.6      ] small  c02 miss picked=notion_search
  [Sonnet 4.6      ] small  c10 miss picked=gmail_search_threads
  [Sonnet 4.6      ] small  c01 ok  picked=gmail_create_draft
  [Sonnet 4.6      ] small  f02 ok  picked=gmail_get_thread
  [Sonnet 4.6      ] small  c03 miss picked=calendar_suggest_time
  [Sonnet 4.6      ] small  l03 ok  picked=gmail_list_labels
  [Sonnet 4.6      ] small  f03 ok  picked=calendar_get_event
  [Sonnet 4.6      ] small  l01 ok  picked=calendar_list_events
  [Sonnet 4.6      ] small  u01 miss picked=notion_search
  [Sonnet 4.6      ] small  a02 ok  picked=notion_search
  [Sonnet 4.6      ] small  a06 ok  picked=gmail_search_threads
  [Sonnet 4.6      ] small  a09 ok  picked=notion_search
  [Sonnet 4.6      ] small  a01 miss picked=gmail_search_threads
  [Sonnet 4.6      ] small  a10 ok  picked=notion_search
  [Sonnet 4.6] medium: skipping 10 cases
  [Sonnet 4.6      ] medium s04 ok  picked=slack_search_messages
  [Sonnet 4.6      ] medium s03 ok  picked=drive_search_files
  [Sonnet 4.6      ] medium s10 ok  picked=todoist_list_tasks
  [Sonnet 4.6      ] medium s02 ok  picked=gmail_search_threads
  [Sonnet 4.6      ] medium c02 miss picked=notion_search
  [Sonnet 4.6      ] medium s05 ok  picked=linear_search_issues
  [Sonnet 4.6      ] medium c01 ok  picked=gmail_create_draft
  [Sonnet 4.6      ] medium s01 ok  picked=notion_search
  [Sonnet 4.6      ] medium c05 ok  picked=slack_post_message
  [Sonnet 4.6      ] medium c04 miss picked=drive_search_files
  [Sonnet 4.6      ] medium c09 ok  picked=todoist_create_task
  [Sonnet 4.6      ] medium f02 ok  picked=gmail_get_thread
  [Sonnet 4.6      ] medium c10 miss picked=gmail_search_threads
  [Sonnet 4.6      ] medium f01 ok  picked=notion_fetch
  [Sonnet 4.6      ] medium f03 ok  picked=calendar_get_event
  [Sonnet 4.6      ] medium c06 miss picked=linear_search_issues
  [Sonnet 4.6      ] medium c03 miss picked=calendar_suggest_time
  [Sonnet 4.6      ] medium f04 ok  picked=drive_read_file_content
  [Sonnet 4.6      ] medium u02 miss picked=linear_search_issues
  [Sonnet 4.6      ] medium l02 ok  picked=drive_list_recent_files
  [Sonnet 4.6      ] medium u03 ok  picked=todoist_complete_task
  [Sonnet 4.6      ] medium u01 miss picked=notion_search
  [Sonnet 4.6      ] medium l03 ok  picked=gmail_list_labels
  [Sonnet 4.6      ] medium l01 ok  picked=calendar_list_events
  [Sonnet 4.6      ] medium a03 miss picked=slack_list_channels
  [Sonnet 4.6      ] medium a01 ok  picked=calendar_suggest_time
  [Sonnet 4.6      ] medium a08 ok  picked=todoist_list_tasks
  [Sonnet 4.6      ] medium a04 ok  picked=todoist_create_task
  [Sonnet 4.6      ] medium a02 ok  picked=slack_search_messages
  [Sonnet 4.6      ] medium a06 ok  picked=gmail_search_threads
  [Sonnet 4.6      ] medium a07 miss picked=linear_search_issues
  [Sonnet 4.6      ] medium l04 ok  picked=slack_list_channels
  [Sonnet 4.6      ] medium a10 ok  picked=drive_search_files
  [Sonnet 4.6      ] medium a09 ok  picked=notion_search
  [Sonnet 4.6      ] large  s08 ok  picked=figma_search_design_system
  [Sonnet 4.6      ] large  s04 ok  picked=slack_search_messages
  [Sonnet 4.6      ] large  s07 ok  picked=github_search_issues
  [Sonnet 4.6      ] large  s05 ok  picked=linear_search_issues
  [Sonnet 4.6      ] large  s02 ok  picked=gmail_search_threads
  [Sonnet 4.6      ] large  s01 ok  picked=notion_search
  [Sonnet 4.6      ] large  s06 ok  picked=github_search_code
  [Sonnet 4.6      ] large  s09 ok  picked=stripe_list_customers
  [Sonnet 4.6      ] large  c05 ok  picked=slack_post_message
  [Sonnet 4.6      ] large  c02 miss picked=notion_search
  [Sonnet 4.6      ] large  s03 ok  picked=drive_search_files
  [Sonnet 4.6      ] large  s10 ok  picked=todoist_list_tasks
  [Sonnet 4.6      ] large  c04 miss picked=drive_search_files
  [Sonnet 4.6      ] large  c03 miss picked=calendar_suggest_time
  [Sonnet 4.6      ] large  c01 ok  picked=gmail_create_draft
  [Sonnet 4.6      ] large  c08 ok  picked=stripe_create_customer
  [Sonnet 4.6      ] large  c09 ok  picked=todoist_create_task
  [Sonnet 4.6      ] large  c06 miss picked=linear_search_issues
  [Sonnet 4.6      ] large  c07 ok  picked=github_create_pr
  [Sonnet 4.6      ] large  c10 miss picked=gmail_search_threads
  [Sonnet 4.6      ] large  f01 ok  picked=notion_fetch
  [Sonnet 4.6      ] large  f03 ok  picked=calendar_get_event
  [Sonnet 4.6      ] large  f04 ok  picked=drive_read_file_content
  [Sonnet 4.6      ] large  f05 ok  picked=github_get_pr
  [Sonnet 4.6      ] large  f02 ok  picked=gmail_get_thread
  [Sonnet 4.6      ] large  u02 miss picked=linear_search_issues
  [Sonnet 4.6      ] large  f06 miss picked=figma_search_design_system
  [Sonnet 4.6      ] large  l02 ok  picked=drive_list_recent_files
  [Sonnet 4.6      ] large  u01 miss picked=notion_search
  [Sonnet 4.6      ] large  u03 ok  picked=todoist_complete_task
  [Sonnet 4.6      ] large  l01 ok  picked=calendar_list_events
  [Sonnet 4.6      ] large  l04 ok  picked=slack_list_channels
  [Sonnet 4.6      ] large  a03 miss picked=slack_list_channels
  [Sonnet 4.6      ] large  l03 ok  picked=gmail_list_labels
  [Sonnet 4.6      ] large  l05 ok  picked=stripe_list_charges
  [Sonnet 4.6      ] large  a01 ok  picked=calendar_suggest_time
  [Sonnet 4.6      ] large  a04 ok  picked=todoist_create_task
  [Sonnet 4.6      ] large  a06 ok  picked=gmail_search_threads
  [Sonnet 4.6      ] large  a05 ok  picked=stripe_list_customers
  [Sonnet 4.6      ] large  a08 ok  picked=todoist_list_tasks
  [Sonnet 4.6      ] large  a02 ok  picked=slack_search_messages
  [Sonnet 4.6      ] large  a10 ok  picked=drive_search_files
  [Sonnet 4.6      ] large  a09 ok  picked=figma_search_design_system
  [Sonnet 4.6      ] large  a07 miss picked=linear_search_issues
  [Haiku 4.5] small: skipping 27 cases
  [Haiku 4.5       ] small  f01 ok  picked=notion_fetch
  [Haiku 4.5       ] small  f02 ok  picked=gmail_get_thread
  [Haiku 4.5       ] small  c10 miss picked=gmail_search_threads
  [Haiku 4.5       ] small  c02 miss picked=notion_search
  [Haiku 4.5       ] small  s02 ok  picked=gmail_search_threads
  [Haiku 4.5       ] small  s01 ok  picked=notion_search
  [Haiku 4.5       ] small  c01 ok  picked=gmail_create_draft
  [Haiku 4.5       ] small  c03 miss picked=-
  [Haiku 4.5       ] small  l03 ok  picked=gmail_list_labels
  [Haiku 4.5       ] small  u01 miss picked=notion_search
  [Haiku 4.5       ] small  a06 ok  picked=gmail_search_threads
  [Haiku 4.5       ] small  l01 miss picked=-
  [Haiku 4.5       ] small  a02 ok  picked=notion_search
  [Haiku 4.5       ] small  f03 miss picked=-
  [Haiku 4.5       ] small  a01 ok  picked=calendar_suggest_time
  [Haiku 4.5       ] small  a09 ok  picked=notion_search
  [Haiku 4.5       ] small  a10 ok  picked=notion_search
  [Haiku 4.5] medium: skipping 10 cases
  [Haiku 4.5       ] medium s01 ok  picked=notion_search
  [Haiku 4.5       ] medium s04 ok  picked=slack_search_messages
  [Haiku 4.5       ] medium c01 ok  picked=gmail_create_draft
  [Haiku 4.5       ] medium s05 ok  picked=linear_search_issues
  [Haiku 4.5       ] medium c02 miss picked=notion_search
  [Haiku 4.5       ] medium s10 ok  picked=todoist_list_tasks
  [Haiku 4.5       ] medium s02 ok  picked=gmail_search_threads
  [Haiku 4.5       ] medium s03 ok  picked=drive_search_files
  [Haiku 4.5       ] medium c05 ok  picked=slack_post_message
  [Haiku 4.5       ] medium c09 ok  picked=todoist_create_task
  [Haiku 4.5       ] medium f01 ok  picked=notion_fetch
  [Haiku 4.5       ] medium c06 miss picked=-
  [Haiku 4.5       ] medium f02 ok  picked=gmail_get_thread
  [Haiku 4.5       ] medium c04 miss picked=drive_search_files
  [Haiku 4.5       ] medium c10 miss picked=gmail_search_threads
  [Haiku 4.5       ] medium c03 miss picked=-
  [Haiku 4.5       ] medium u02 ok  picked=linear_update_issue
  [Haiku 4.5       ] medium u01 miss picked=notion_search
  [Haiku 4.5       ] medium f04 ok  picked=drive_read_file_content
  [Haiku 4.5       ] medium u03 ok  picked=todoist_complete_task
  [Haiku 4.5       ] medium l02 ok  picked=drive_list_recent_files
  [Haiku 4.5       ] medium l01 ok  picked=calendar_list_events
  [Haiku 4.5       ] medium l04 ok  picked=slack_list_channels
  [Haiku 4.5       ] medium l03 ok  picked=gmail_list_labels
  [Haiku 4.5       ] medium a04 ok  picked=todoist_create_task
  [Haiku 4.5       ] medium a03 miss picked=slack_list_channels
  [Haiku 4.5       ] medium a06 ok  picked=gmail_search_threads
  [Haiku 4.5       ] medium a02 miss picked=linear_search_issues
  [Haiku 4.5       ] medium a01 ok  picked=calendar_suggest_time
  [Haiku 4.5       ] medium a09 ok  picked=drive_search_files
  [Haiku 4.5       ] medium a10 ok  picked=drive_search_files
  [Haiku 4.5       ] medium a07 miss picked=-
  [Haiku 4.5       ] medium f03 miss picked=-
  [Haiku 4.5       ] medium a08 ok  picked=todoist_list_tasks
  [Haiku 4.5       ] large  s02 ok  picked=gmail_search_threads
  [Haiku 4.5       ] large  s06 ok  picked=github_search_code
  [Haiku 4.5       ] large  s07 ok  picked=github_search_issues
  [Haiku 4.5       ] large  s05 ok  picked=linear_search_issues
  [Haiku 4.5       ] large  s08 ok  picked=figma_search_design_system
  [Haiku 4.5       ] large  s03 ok  picked=drive_search_files
  [Haiku 4.5       ] large  s04 ok  picked=slack_search_messages
  [Haiku 4.5       ] large  s01 ok  picked=notion_search
  [Haiku 4.5       ] large  s09 ok  picked=stripe_list_customers
  [Haiku 4.5       ] large  s10 ok  picked=todoist_list_tasks
  [Haiku 4.5       ] large  c01 ok  picked=gmail_create_draft
  [Haiku 4.5       ] large  c05 ok  picked=slack_post_message
  [Haiku 4.5       ] large  c02 miss picked=notion_search
  [Haiku 4.5       ] large  c03 miss picked=calendar_suggest_time
  [Haiku 4.5       ] large  c04 miss picked=drive_search_files
  [Haiku 4.5       ] large  c06 miss picked=linear_search_issues
  [Haiku 4.5       ] large  c08 ok  picked=stripe_create_customer
  [Haiku 4.5       ] large  c09 ok  picked=todoist_create_task
  [Haiku 4.5       ] large  c07 ok  picked=github_create_pr
  [Haiku 4.5       ] large  c10 miss picked=gmail_search_threads
  [Haiku 4.5       ] large  f02 ok  picked=gmail_get_thread
  [Haiku 4.5       ] large  f01 ok  picked=notion_fetch
  [Haiku 4.5       ] large  f04 ok  picked=drive_read_file_content
  [Haiku 4.5       ] large  f03 ok  picked=calendar_get_event
  [Haiku 4.5       ] large  f05 ok  picked=github_get_pr
  [Haiku 4.5       ] large  f06 ok  picked=figma_get_design_context
  [Haiku 4.5       ] large  u02 ok  picked=linear_update_issue
  [Haiku 4.5       ] large  u03 ok  picked=todoist_complete_task
  [Haiku 4.5       ] large  u01 miss picked=notion_search
  [Haiku 4.5       ] large  l03 ok  picked=gmail_list_labels
  [Haiku 4.5       ] large  l04 ok  picked=slack_list_channels
  [Haiku 4.5       ] large  l02 ok  picked=drive_list_recent_files
  [Haiku 4.5       ] large  l01 miss picked=-
  [Haiku 4.5       ] large  l05 ok  picked=stripe_list_charges
  [Haiku 4.5       ] large  a01 ok  picked=calendar_suggest_time
  [Haiku 4.5       ] large  a05 ok  picked=stripe_list_customers
  [Haiku 4.5       ] large  a04 ok  picked=todoist_create_task
  [Haiku 4.5       ] large  a03 miss picked=slack_list_channels
  [Haiku 4.5       ] large  a02 ok  picked=slack_search_messages
  [Haiku 4.5       ] large  a08 ok  picked=todoist_list_tasks
  [Haiku 4.5       ] large  a06 ok  picked=gmail_search_threads
  [Haiku 4.5       ] large  a09 ok  picked=figma_search_design_system
  [Haiku 4.5       ] large  a10 ok  picked=drive_search_files
  [Haiku 4.5       ] large  a07 miss picked=-
  [GPT-5] small: skipping 27 cases
  [GPT-5           ] small  f01 ok  picked=notion_fetch
  [GPT-5           ] small  s01 ok  picked=notion_search
  [GPT-5           ] small  f02 ok  picked=gmail_get_thread
  [GPT-5           ] small  f03 ok  picked=calendar_get_event
  [GPT-5           ] small  c02 miss picked=notion_search
  [GPT-5           ] small  s02 ok  picked=gmail_search_threads
  [GPT-5           ] small  c01 miss picked=-
  [GPT-5           ] small  l03 ok  picked=gmail_list_labels
  [GPT-5           ] small  c10 miss picked=-
  [GPT-5           ] small  c03 miss picked=-
  [GPT-5           ] small  u01 miss picked=notion_search
  [GPT-5           ] small  l01 ok  picked=calendar_list_events
  [GPT-5           ] small  a02 ok  picked=notion_search
  [GPT-5           ] small  a09 ok  picked=notion_search
  [GPT-5           ] small  a01 miss picked=-
  [GPT-5           ] small  a10 ok  picked=notion_search
  [GPT-5           ] small  a06 ok  picked=gmail_search_threads
  [GPT-5] medium: skipping 10 cases
  [GPT-5           ] medium c02 miss picked=notion_search
  [GPT-5           ] medium s01 ok  picked=notion_search
  [GPT-5           ] medium s10 ok  picked=todoist_list_tasks
  [GPT-5           ] medium s05 ok  picked=linear_search_issues
  [GPT-5           ] medium s02 ok  picked=gmail_search_threads
  [GPT-5           ] medium s04 ok  picked=slack_search_messages
  [GPT-5           ] medium c01 miss picked=-
  [GPT-5           ] medium s03 miss picked=-
  [GPT-5           ] medium f01 ok  picked=notion_fetch
  [GPT-5           ] medium c05 ok  picked=slack_post_message
  [GPT-5           ] medium c04 miss picked=-
  [GPT-5           ] medium c03 miss picked=-
  [GPT-5           ] medium f03 ok  picked=calendar_get_event
  [GPT-5           ] medium c10 miss picked=-
  [GPT-5           ] medium f04 ok  picked=drive_read_file_content
  [GPT-5           ] medium f02 ok  picked=gmail_get_thread
  [GPT-5           ] medium c06 miss picked=-
  [GPT-5           ] medium c09 ok  picked=todoist_create_task
  [GPT-5           ] medium l04 ok  picked=slack_list_channels
  [GPT-5           ] medium u03 ok  picked=todoist_complete_task
  [GPT-5           ] medium l03 ok  picked=gmail_list_labels
  [GPT-5           ] medium l02 ok  picked=drive_list_recent_files
  [GPT-5           ] medium u01 miss picked=notion_search
  [GPT-5           ] medium u02 miss picked=linear_search_issues
  [GPT-5           ] medium a02 ok  picked=slack_search_messages
  [GPT-5           ] medium l01 ok  picked=calendar_list_events
  [GPT-5           ] medium a06 ok  picked=gmail_search_threads
  [GPT-5           ] medium a01 miss picked=-
  [GPT-5           ] medium a08 ok  picked=todoist_list_tasks
  [GPT-5           ] medium a03 miss picked=-
  [GPT-5           ] medium a04 miss picked=-
  [GPT-5           ] medium a07 miss picked=-
  [GPT-5           ] medium a09 ok  picked=notion_search
  [GPT-5           ] medium a10 miss picked=-
  [GPT-5           ] large  s08 ok  picked=figma_search_design_system
  [GPT-5           ] large  s01 ok  picked=notion_search
  [GPT-5           ] large  s04 ok  picked=slack_search_messages
  [GPT-5           ] large  s05 ok  picked=linear_search_issues
  [GPT-5           ] large  s07 ok  picked=github_search_issues
  [GPT-5           ] large  s02 ok  picked=gmail_search_threads
  [GPT-5           ] large  s10 ok  picked=todoist_list_tasks
  [GPT-5           ] large  s03 miss picked=-
  [GPT-5           ] large  s06 miss picked=-
  [GPT-5           ] large  c02 miss picked=notion_search
  [GPT-5           ] large  c05 ok  picked=slack_post_message
  [GPT-5           ] large  s09 miss picked=-
  [GPT-5           ] large  c04 miss picked=-
  [GPT-5           ] large  c01 miss picked=-
  [GPT-5           ] large  c08 ok  picked=stripe_create_customer
  [GPT-5           ] large  c03 miss picked=-
  [GPT-5           ] large  f02 ok  picked=gmail_get_thread
  [GPT-5           ] large  c07 ok  picked=github_create_pr
  [GPT-5           ] large  c06 miss picked=-
  [GPT-5           ] large  c09 ok  picked=todoist_create_task
  [GPT-5           ] large  f03 ok  picked=calendar_get_event
  [GPT-5           ] large  f04 ok  picked=drive_read_file_content
  [GPT-5           ] large  f01 ok  picked=notion_fetch
  [GPT-5           ] large  u03 ok  picked=todoist_complete_task
  [GPT-5           ] large  c10 miss picked=-
  [GPT-5           ] large  l02 ok  picked=drive_list_recent_files
  [GPT-5           ] large  u02 miss picked=linear_search_issues
  [GPT-5           ] large  u01 miss picked=notion_search
  [GPT-5           ] large  l03 ok  picked=gmail_list_labels
  [GPT-5           ] large  l04 ok  picked=slack_list_channels
  [GPT-5           ] large  l01 miss picked=-
  [GPT-5           ] large  f06 miss picked=-
  [GPT-5           ] large  f05 miss picked=-
  [GPT-5           ] large  l05 ok  picked=stripe_list_charges
  [GPT-5           ] large  a06 ok  picked=gmail_search_threads
  [GPT-5           ] large  a02 ok  picked=slack_search_messages
  [GPT-5           ] large  a03 miss picked=slack_list_channels
  [GPT-5           ] large  a01 miss picked=-
  [GPT-5           ] large  a05 miss picked=-
  [GPT-5           ] large  a08 ok  picked=todoist_list_tasks
  [GPT-5           ] large  a04 miss picked=-
  [GPT-5           ] large  a07 miss picked=-
  [GPT-5           ] large  a09 ok  picked=notion_search
  [GPT-5           ] large  a10 miss picked=-
  [GPT-5 Mini] small: skipping 27 cases
  [GPT-5 Mini      ] small  f01 ok  picked=notion_fetch
  [GPT-5 Mini      ] small  f02 ok  picked=gmail_get_thread
  [GPT-5 Mini      ] small  c02 miss picked=notion_search
  [GPT-5 Mini      ] small  s01 ok  picked=notion_search
  [GPT-5 Mini      ] small  f03 ok  picked=calendar_get_event
  [GPT-5 Mini      ] small  c01 ok  picked=gmail_create_draft
  [GPT-5 Mini      ] small  u01 miss picked=notion_search
  [GPT-5 Mini      ] small  s02 ok  picked=gmail_search_threads
  [GPT-5 Mini      ] small  c10 miss picked=gmail_search_threads
  [GPT-5 Mini      ] small  l03 ok  picked=gmail_list_labels
  [GPT-5 Mini      ] small  c03 miss picked=-
  [GPT-5 Mini      ] small  a02 ok  picked=notion_search
  [GPT-5 Mini      ] small  a09 ok  picked=notion_search
  [GPT-5 Mini      ] small  l01 ok  picked=calendar_list_events
  [GPT-5 Mini      ] small  a06 ok  picked=gmail_search_threads
  [GPT-5 Mini      ] small  a10 ok  picked=notion_search
  [GPT-5 Mini      ] small  a01 miss picked=-
  [GPT-5 Mini] medium: skipping 10 cases
  [GPT-5 Mini      ] medium s10 ok  picked=todoist_list_tasks
  [GPT-5 Mini      ] medium s05 ok  picked=linear_search_issues
  [GPT-5 Mini      ] medium c01 ok  picked=gmail_create_draft
  [GPT-5 Mini      ] medium s04 ok  picked=slack_search_messages
  [GPT-5 Mini      ] medium c02 miss picked=notion_search
  [GPT-5 Mini      ] medium s01 ok  picked=notion_search
  [GPT-5 Mini      ] medium s02 ok  picked=gmail_search_threads
  [GPT-5 Mini      ] medium c05 ok  picked=slack_post_message
  [GPT-5 Mini      ] medium s03 miss picked=-
  [GPT-5 Mini      ] medium c09 ok  picked=todoist_create_task
  [GPT-5 Mini      ] medium c10 miss picked=gmail_search_threads
  [GPT-5 Mini      ] medium f01 ok  picked=notion_fetch
  [GPT-5 Mini      ] medium f02 ok  picked=gmail_get_thread
  [GPT-5 Mini      ] medium c04 miss picked=drive_search_files
  [GPT-5 Mini      ] medium c06 miss picked=linear_search_issues
  [GPT-5 Mini      ] medium f03 ok  picked=calendar_get_event
  [GPT-5 Mini      ] medium c03 miss picked=calendar_suggest_time
  [GPT-5 Mini      ] medium f04 ok  picked=drive_read_file_content
  [GPT-5 Mini      ] medium u01 miss picked=notion_search
  [GPT-5 Mini      ] medium l02 ok  picked=drive_list_recent_files
  [GPT-5 Mini      ] medium u03 ok  picked=todoist_complete_task
  [GPT-5 Mini      ] medium l03 ok  picked=gmail_list_labels
  [GPT-5 Mini      ] medium u02 ok  picked=linear_update_issue
  [GPT-5 Mini      ] medium l04 ok  picked=slack_list_channels
  [GPT-5 Mini      ] medium a02 ok  picked=notion_search
  [GPT-5 Mini      ] medium a06 ok  picked=gmail_search_threads
  [GPT-5 Mini      ] medium l01 ok  picked=calendar_list_events
  [GPT-5 Mini      ] medium a03 miss picked=slack_list_channels
  [GPT-5 Mini      ] medium a04 ok  picked=todoist_create_task
  [GPT-5 Mini      ] medium a09 ok  picked=notion_search
  [GPT-5 Mini      ] medium a01 ok  picked=calendar_suggest_time
  [GPT-5 Mini      ] medium a08 ok  picked=todoist_list_tasks
  [GPT-5 Mini      ] medium a07 miss picked=-
  [GPT-5 Mini      ] medium a10 ok  picked=drive_search_files
  [GPT-5 Mini      ] large  s08 ok  picked=figma_search_design_system
  [GPT-5 Mini      ] large  s01 ok  picked=notion_search
  [GPT-5 Mini      ] large  s07 ok  picked=github_search_issues
  [GPT-5 Mini      ] large  s04 ok  picked=slack_search_messages
  [GPT-5 Mini      ] large  s05 ok  picked=linear_search_issues
  [GPT-5 Mini      ] large  s06 ok  picked=github_search_code
  [GPT-5 Mini      ] large  s02 ok  picked=gmail_search_threads
  [GPT-5 Mini      ] large  s03 ok  picked=drive_search_files
  [GPT-5 Mini      ] large  s10 ok  picked=todoist_list_tasks
  [GPT-5 Mini      ] large  s09 ok  picked=stripe_list_customers
  [GPT-5 Mini      ] large  c02 miss picked=notion_search
  [GPT-5 Mini      ] large  c01 ok  picked=gmail_create_draft
  [GPT-5 Mini      ] large  c05 ok  picked=slack_post_message
  [GPT-5 Mini      ] large  c08 ok  picked=stripe_create_customer
